Date,open,high,low,close
10/20/2023,660.6,670.4,659.3,664
10/23/2023,665,669.8,655,669.4
10/24/2023,676.6,683.5,670,681
10/25/2023,677,680.2,669,679.1
10/26/2023,674,674.1,664.9,668.4
10/27/2023,666.5,671.4,660.1,661.4
10/30/2023,668.8,676.8,663.4,671
10/31/2023,672,683.4,669.5,674.5
11/1/2023,678.5,679.7,668,675.3
11/2/2023,686.1,707.3,683.5,701.1
11/3/2023,706,711.5,700.3,702.8
11/6/2023,708,708.7,693.1,697.2
11/7/2023,695,699.9,691.3,697.5
11/8/2023,697.9,710.2,684.3,703.5
11/9/2023,705,718.2,702.3,714.4
11/10/2023,702,704.9,680.7,687.1
11/13/2023,693,693.1,683,688.5
11/14/2023,688.5,710.5,685.4,706.9
11/15/2023,713,726.6,712.4,719
11/16/2023,712,712.8,699.2,706.1
11/17/2023,707.3,715.5,705,711.6
11/20/2023,712.8,720.8,712.1,717.7
11/21/2023,708.3,711,702.7,704.1
11/22/2023,706.8,714.1,702.9,712.3
11/23/2023,714.7,714.7,707,711.6
11/24/2023,710.7,711.1,704.7,706.9
11/27/2023,708.1,710.2,696.4,697.3
11/28/2023,683,687,676.2,684.5
11/29/2023,684.6,696.9,682.5,690.5
11/30/2023,693.3,703.1,682.2,702.7
12/1/2023,690,705.1,689.2,699.2
12/4/2023,695.6,703.9,692.2,698.7
12/5/2023,698.7,715,697.7,713.2
12/6/2023,712.5,720.6,709.3,718.6
12/7/2023,714.6,716.7,710.5,715.6
12/8/2023,716.4,745.5,716.4,739.1
12/11/2023,739.1,744.9,736.2,740
12/12/2023,742.3,746.7,733,733.6
12/13/2023,720,742.2,720,734.5
12/14/2023,750,754.8,741.2,746.8
12/15/2023,749.8,755.3,745.6,748.4
12/18/2023,742.5,743.3,734,741.8
12/19/2023,741.3,746.6,731.4,745.5
12/20/2023,747.4,752,740.6,746.9
12/21/2023,741,744.3,735.5,743.4
12/22/2023,735.3,742.2,733.4,737.7
12/27/2023,738.5,743.6,733.7,735.4
12/28/2023,736.9,739.7,728.6,731
12/29/2023,733,738.3,732.2,733.6
1/2/2024,740,740.5,718.7,723
1/3/2024,718,720.4,692.8,695.4
1/4/2024,693.5,701,693.4,697.8
1/5/2024,690.7,694.1,680.6,688.9
1/8/2024,687.5,691.3,679.1,691.3
1/9/2024,691.3,695.5,679.8,680.7
1/10/2024,683.9,688.5,680.8,683
1/11/2024,688.9,690,672,672.2
1/12/2024,660,669.9,647.6,669.9
